Column1	Column2	Column3	Column4	Column5	Column6
SpeciesFile ContamW 2.0					
					
1/1	!start-of-file date				
31-Dec	!end-of-file date				
4					
PM2.5					
NO2					
SO2					
CO					
					
					
!Date	Time	PM2.5	NO2	SO2	CO
7/8	24:00:00	7.66616E-19	3.98671E-09	3.98671E-10	3.98671E-07
7/9	24:00:00	1.09563E-18	3.48837E-09	7.47508E-10	7.47508E-07
7/10	24:00:00	8.32528E-19	3.74585E-09	3.8206E-10	3.8206E-07
7/11	24:00:00	7.02879E-19	2.50831E-09	2.99003E-10	2.99003E-07
7/12	24:00:00	9.34861E-19	6.23754E-09	3.90365E-10	3.90365E-07
7/13	24:00:00	1.03529E-18	4.72591E-09	7.14286E-10	7.14286E-07
7/14	24:00:00	9.54295E-19	4.10299E-09	4.31894E-10	4.31894E-07
7/15	24:00:00	6.27046E-19	3.53821E-09	6.64452E-10	6.64452E-07
7/16	24:00:00	7.499E-19	8.29734E-09	3.8206E-10	3.8206E-07
7/17	24:00:00	7.28428E-19	9.33555E-09	9.05316E-10	9.05316E-07
7/18	24:00:00	8.10512E-19	8.73173E-08	1.3206E-09	1.3206E-06
7/19	24:00:00	7.00432E-19	1.32724E-08	9.38538E-10	9.38538E-07
7/20	24:00:00	5.71598E-19	6.7608E-09	4.06977E-10	4.06977E-07
7/21	24:00:00	7.06004E-19	6.82724E-09	5.98007E-10	5.98007E-07
7/22	24:00:00	1.07511E-18	7.36711E-09	6.39535E-10	6.39535E-07
7/23	24:00:00	8.17307E-19	6.60299E-09	3.73754E-10	3.73754E-07
7/24	24:00:00	5.83558E-19	5.35714E-09	4.23588E-10	4.23588E-07
7/25	24:00:00	6.87522E-19	7.21761E-09	3.8206E-10	3.8206E-07
7/26	24:00:00	9.65711E-19	7.43355E-09	9.80066E-10	9.80066E-07
7/27	24:00:00	1.25518E-18	1.0789E-08	7.30897E-10	7.30897E-07
7/28	24:00:00	8.02494E-19	1.25E-08	4.48505E-10	4.48505E-07
7/29	24:00:00	8.66095E-19	8.00664E-09	3.65449E-10	3.65449E-07
7/30	24:00:00	9.95337E-19	5.08306E-09	7.97342E-10	7.97342E-07
7/31	24:00:00	6.20523E-19	5.12458E-09	7.22591E-10	7.22591E-07
8/1	24:00:00	1.07321E-18	5.56478E-09	9.38538E-10	9.38538E-07
8/2	24:00:00	7.94612E-19	5.2907E-09	6.14618E-10	6.14618E-07
8/3	24:00:00	8.646E-19	4.72591E-09	6.14618E-10	6.14618E-07
8/4	24:00:00	8.09425E-19	4.66777E-09	7.97342E-10	7.97342E-07
8/5	24:00:00	4.20205E-19	3.79568E-09	4.90033E-10	4.90033E-07
8/6	24:00:00	6.4947E-19	5.55648E-09	5.39867E-10	5.39867E-07
8/7	24:00:00	8.53864E-19	4.31894E-09	9.05316E-10	9.05316E-07
8/8	24:00:00	9.00478E-19	4.68439E-09	4.90033E-10	4.90033E-07
8/9	24:00:00	1.09713E-18	5.10797E-09	4.48505E-10	4.48505E-07
8/10	24:00:00	9.67885E-19	4.29402E-09	9.88372E-10	9.88372E-07
8/11	24:00:00	7.20138E-19	4.33555E-09	7.80731E-10	7.80731E-07
8/12	24:00:00	7.41338E-19	5.55648E-09	1.35382E-09	1.35382E-06
8/13	24:00:00	9.0374E-19	4.13621E-09	4.73422E-10	4.73422E-07
8/14	24:00:00	3.61088E-19	4.51827E-09	9.5515E-10	9.5515E-07
8/15	24:00:00	4.57578E-19	4.45183E-09	7.39203E-10	7.39203E-07
8/16	24:00:00	7.51939E-19	4.34385E-09	4.48505E-10	4.48505E-07
8/17	24:00:00	1.06954E-18	5.57309E-09	6.22924E-10	6.22924E-07
8/18	24:00:00	5.58824E-19	4.73256E-08	2.5E-09	0.0000025
8/19	24:00:00	2.3538E-19	1.20017E-08	8.88704E-10	8.88704E-07
8/20	24:00:00	2.93953E-19	2.7309E-08	1.37874E-09	1.37874E-06
