Column1	Column2	Column3	Column4	Column5	Column6	Column7
SpeciesFile ContamW 2.0						
						
1/1	!start-of-file date					
1/30	!end-of-file date					
5						
PM2.5						
PM10						
NO2						
SO2						
CO						
						
!Date	Time	PM2.5	PM10	NO2	SO2	CO
8/29	24:00:00	4.48608E-19	0	0	2.99003E-10	0
8/30	24:00:00	3.94656E-19	0	0	1.10465E-09	0
8/31	24:00:00	4.50103E-19	0	0	3.48837E-10	0
9/1	24:00:00	5.24577E-19	0	0	6.72757E-10	0
9/2	24:00:00	4.53093E-19	0	0	6.81063E-10	0
9/3	24:00:00	5.01881E-19	0	0	7.89037E-10	0
9/4	24:00:00	4.52821E-19	0	0	7.30897E-10	0
9/5	24:00:00	5.19413E-19	0	0	2.0598E-09	0
9/6	24:00:00	6.47975E-19	0	0	8.22259E-10	0
9/7	24:00:00	6.52595E-19	0	0	1.13787E-09	0
9/8	24:00:00	1.13994E-18	0	0	1.70266E-09	0
9/9	24:00:00	1.4453E-18	0	0	1.55316E-09	0
9/10	24:00:00	1.2053E-18	0	0	1.39535E-09	0
9/11	24:00:00	1.01993E-18	0	0	1.84385E-09	0
9/12	24:00:00	1.19824E-18	0	0	1.34551E-09	0
9/13	24:00:00	8.14725E-19	0	0	1.19601E-09	0
9/14	24:00:00	9.88542E-19	0	0	1.19601E-09	0
9/15	24:00:00	1.01695E-18	0	0	7.47508E-10	0
9/16	24:00:00	7.37669E-19	0	0	1.24585E-09	0
9/17	24:00:00	7.9434E-19	0	0	5.81395E-10	0
9/18	24:00:00	9.83785E-19	0	0	8.72093E-10	0
9/19	24:00:00	1.15611E-18	0	0	9.46844E-10	0
9/20	24:00:00	9.35677E-19	0	0	1.50332E-09	0
9/21	24:00:00	4.71304E-19	0	0	4.40199E-10	0
9/22	24:00:00	3.94248E-19	0	0	5.48173E-10	0
9/23	24:00:00	5.11938E-19	0	0	1.69435E-09	0
9/24	24:00:00	9.02381E-19	0	0	8.05648E-10	0
9/25	24:00:00	9.71554E-19	0	0	8.22259E-10	0
9/26	24:00:00	8.23015E-19	0	0	9.21927E-10	0
9/27	24:00:00	1.37137E-18	0	0	1.04651E-09	0
9/28	24:00:00	1.23575E-18	0	0	9.71761E-10	0
9/29	24:00:00	1.3518E-18	0	0	9.30233E-10	0
9/30	24:00:00	1.08163E-18	0	0	1.12957E-09	0
10/1	24:00:00	1.04861E-18	0	0	8.55482E-10	0
10/2	24:00:00	8.45031E-19	0	0	1.34551E-09	0
10/3	24:00:00	6.03263E-19	0	0	9.38538E-10	0
10/4	24:00:00	8.84578E-19	0	0	1.56977E-09	0
10/5	24:00:00	8.78734E-19	0	0	9.46844E-10	0
10/6	24:00:00	6.70942E-19	0	0	1.52824E-09	0
10/7	24:00:00	1.31226E-18	0	0	1.0299E-09	0
10/8	24:00:00	1.65147E-18	0	0	1.1711E-09	0
10/9	24:00:00	1.13966E-18	0	0	1.02159E-09	0
10/10	24:00:00	9.24669E-19	0	0	9.46844E-10	0
10/11	24:00:00	6.31531E-19	0	0	1.27076E-09	0
10/12	24:00:00	7.99912E-19	0	0	8.30565E-10	0
10/13	24:00:00	2.12399E-18	0	0	1.06312E-09	0
10/14	24:00:00	2.52789E-18	0	0	1.60299E-09	0
10/15	24:00:00	1.54506E-18	0	0	9.71761E-10	0
10/16	24:00:00	1.8545E-18	0	0	1.51993E-09	0
10/17	24:00:00	2.30488E-18	0	0	1.1711E-09	0
10/18	24:00:00	2.09043E-18	0	0	1.07973E-09	0
10/19	24:00:00	2.36182E-18	0	0	1.44518E-09	0
10/20	24:00:00	2.60005E-18	0	0	2.34219E-09	0
10/21	24:00:00	2.29604E-18	0	0	1.23754E-09	0
10/22	24:00:00	2.3254E-18	0	0	2.00166E-09	0
10/23	24:00:00	2.29618E-18	0	0	1.69435E-09	0
10/24	24:00:00	2.00168E-18	0	0	2.36711E-09	0
10/25	24:00:00	2.71231E-18	0	0	2.23422E-09	0
10/26	24:00:00	2.03375E-18	0	0	1.1794E-09	0
10/27	24:00:00	2.25296E-18	0	0	2.02658E-09	0
10/28	24:00:00	2.19874E-18	0	0	1.87708E-09	0
10/29	24:00:00	2.84617E-18	0	0	1.98505E-09	0
10/30	24:00:00	2.86112E-18	0	0	1.90199E-09	0
10/31	24:00:00	2.47842E-18	0	0	1.36213E-09	0
11/1	24:00:00	2.01486E-18	0	0	1.86877E-09	0
11/2	24:00:00	1.75828E-18	0	0	1.27076E-09	0
11/3	24:00:00	2.39647E-18	0	0	2.3588E-09	0
11/4	24:00:00	2.24209E-18	0	0	2.12625E-09	0
11/5	24:00:00	3.22438E-18	0	0	1.88538E-09	0
11/6	24:00:00	3.78062E-18	0	0	1.85216E-09	0
11/7	24:00:00	2.73038E-18	0	0	2.61628E-09	0
11/8	24:00:00	4.54262E-18	0	0	2.16777E-09	0
11/9	24:00:00	1.08992E-18	0	0	2.75748E-09	0
11/10	24:00:00	1.2087E-18	0	0	1.37874E-09	0
11/11	24:00:00	1.69699E-18	0	0	2.25083E-09	0
11/12	24:00:00	1.78343E-18	0	0	2.10133E-09	0
11/13	24:00:00	2.35299E-18	0	0	1.3206E-09	0
11/14	24:00:00	1.11656E-18	0	0	6.14618E-10	0
11/15	24:00:00	4.66275E-19	0	0	6.56146E-10	0
11/16	24:00:00	6.31802E-19	0	0	1.01329E-09	0
11/17	24:00:00	6.6306E-19	0	0	9.80066E-10	0
11/18	24:00:00	7.59957E-19	0	0	1.34551E-09	0
11/19	24:00:00	9.33774E-19	0	0	1.01329E-09	0
11/20	24:00:00	7.34543E-19	0	0	1.08804E-09	0
11/21	24:00:00	9.38259E-19	0	0	1.19601E-09	0
11/22	24:00:00	1.69033E-18	0	0	2.42525E-09	0
11/23	24:00:00	1.77119E-18	0	0	2.14286E-09	0
11/24	24:00:00	9.7767E-19	0	0	1.14618E-09	0
11/25	24:00:00	7.2041E-19	0	0	1.24585E-09	0
11/26	24:00:00	5.40341E-19	0	0	9.46844E-10	0
11/27	24:00:00	7.56559E-19	0	0	1.37874E-09	0
11/28	24:00:00	7.91758E-19	0	0	1.96013E-09	0
11/29	24:00:00	0	0	0	1.73588E-09	0
11/30	24:00:00	1.57482E-18	0	0	2.23422E-09	0
12/1	24:00:00	1.24091E-18	0	0	2.23422E-09	0
12/2	24:00:00	1.10202E-18	0	0	2.11794E-09	0
12/3	24:00:00	1.36635E-18	0	0	1.86877E-09	0
12/4	24:00:00	4.61519E-19	0	0	1.14618E-09	0
12/5	24:00:00	4.01858E-19	0	0	1.96844E-09	0
12/6	24:00:00	1.26184E-18	0	0	1.7608E-09	0
